References	Qty	Description	MPN	Digikey	Mouser	RS	Newark	Farnell
J2	1	610116249221		732-6082-1-ND	710610116249221			2470746
D1	1	DIODE SOD-123		1N4148WTPMSCT-ND				
D4, D7	2	MBR130T3G SOD123		MBR130T3GOSCT-ND				
OSC1	1	OSC 7X5MM						
R23, RD5, RD1, RD2, RD3, RD4	6	0 Ohm 0603		P0.0GCT-ND	667ERJ3GEY0R00V	8206736	65T8702	1469739
U5	1	SPIFLASH SOIC8208MIL						
C5, C10, C21, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C42, C43	21	100nF 0603		490-1519-6-ND	603CC603KRX7R9BB104	7235676	68R4788	8820023
R3, R5, R6	3	10k 0603		P10.0KHDKR-ND	71CRCW060310KE3	8206742	64R5309	2303192
C9, C20	2	10nF 0603		490-1512-6-ND	81GRM39X103K50D	2040779	38K1669	1362418
C6, C13, C14	3	10uF 0805		490-3886-1-ND	81GRM21BR61C106KE15	7236039	35R0687	1762635
C1, C2, C3, C4	4	10uF CPOL-EUA/3216-18R						
R9, R11	2	1M 0603		311-1.00MHRDKR-ND	71CRCW06031.0ME3	8206786	64R5311	1469746
L2, L4	2	2.2 uH L-EUL2825P						
R7	1	2.2k 0603		311-2.20KHRCT-ND				
L3	1	2.2uH L-EUL2825P						
R4, R13	2	22R 0603		311-22.0HRCT-ND				
C11, C22	2	4.7uF 0603		490-10477-6-ND	80C0603C475K8P7867	6911155	14N2177	1572625
C7, C8, C12, C15, C16, C17, C18, C19, C23, C24	10	4.7uF 0805		490-3335-1-ND	81GRM21BR61E475KA12	7236057	24R6340	1735529
L1	1	4.7uH L-EUL2825P						
R27	1	43k 0603		311-43.2KHRCT-ND				
R10	1	47k5 0603		311-47.5KHRCT-ND				
R12	1	52k3 0603		311-52.3KHRCT-ND				
D6, D8	2	BAV99 SOT23		BAV99LT1GOSCT-ND				
J1	1		ED060SC7 AXT334124					
U6	1		ICE40HX1K-VQ100VQ-100					
U7	1		K6R4016V1DND					
U2, U3	2		LM3671	296-35177-1-ND		7615876P	79K7839	2412057
U1	1		TPS65185	296-29565-1-ND	595TPS651851RSLT		87X2294	
